Response Size,Stock RSA,Stock ECDHE,Key Outside RSA,Key Outside ECDHE,Key Inside RSA,Key Inside ECDHE
1,574.58,379.55,470.22,263.02,406.13,241.54
2,574.56,378.09,473.13,262.75,406.06,242.03
4,573.91,377.44,470.49,262.67,412.31,241.62
8,573.21,377.03,469.63,262.11,410.28,240.91
16,567.52,374.52,467.48,260.69,398.84,236.62
32,554.67,370.61,457.28,257.53,390.62,235.72
64,536.59,362.91,447.03,253.54,366.26,224.51
128,503.89,345.26,422.02,245.24,328.30,210.41
256,237.57,210.8,237.54,210.81,237.42,187.48
512,105.91,105.84,105.91,105.84,112.18,105.84
1024,53.05,53.03,53.05,53.03,53.05,53.03
2048,26.55,26.54,26.55,26.54,26.55,26.54
4096,13.28,13.28,13.28,13.28,13.28,13.28
